subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,29.0,,0.0,,0.9555555555555556,,22,0.5909090909090909,0.8974358974358975,0.8931032642571104,0.8181818181818182,0.13010460245155284
ce,11,verifier_only,,25.0,1.0,,,0.9333333333333333,22,0.5909090909090909,0.8632478632478633,0.8833553732592195,0.8181818181818182,0.15108304549012688
ce,11,cross_model_fused,29.0,25.0,0.1,0.9666666666666667,0.9555555555555556,0.9333333333333333,22,0.5909090909090909,0.8888888888888888,0.8874774797851721,0.8181818181818182,0.13150913370801767
ce,22,target_only,26.0,,0.0,,0.9666666666666667,,22,0.5909090909090909,0.8717948717948718,0.8878777739354664,0.8636363636363636,0.15117090499044775
ce,22,verifier_only,,27.0,1.0,,,0.9444444444444444,22,0.5909090909090909,0.8461538461538461,0.8612575992383685,0.8181818181818182,0.15038568282525705
ce,22,cross_model_fused,26.0,27.0,0.0,0.9666666666666667,0.9666666666666667,0.9444444444444444,22,0.5909090909090909,0.8717948717948718,0.8878777739354664,0.8636363636363636,0.15117090499044775
ce,33,target_only,31.0,,0.0,,0.9555555555555556,,22,0.5909090909090909,0.8717948717948718,0.8618638306138305,0.8181818181818182,0.13494992007564724
ce,33,verifier_only,,25.0,1.0,,,0.9444444444444444,22,0.5909090909090909,0.8632478632478633,0.8738838618646311,0.8181818181818182,0.13784023042997354
ce,33,cross_model_fused,31.0,25.0,0.0,0.9555555555555556,0.9555555555555556,0.9444444444444444,22,0.5909090909090909,0.8717948717948718,0.8618638306138305,0.8181818181818182,0.13494992007564724
ie,11,target_only,30.0,,0.0,,0.8526785714285714,,35,0.42857142857142855,0.7733333333333333,0.5924829347105689,0.7142857142857143,0.19453891066710283
ie,11,verifier_only,,30.0,1.0,,,0.78125,35,0.42857142857142855,0.7,0.6146077807676481,0.5714285714285714,0.22074039394800032
ie,11,cross_model_fused,30.0,30.0,0.0,0.8526785714285714,0.8526785714285714,0.78125,35,0.42857142857142855,0.7733333333333333,0.5924829347105689,0.7142857142857143,0.19453891066710283
ie,22,target_only,32.0,,0.0,,0.8348214285714286,,35,0.42857142857142855,0.8066666666666666,0.7103106228095617,0.7428571428571429,0.18749080778578187
ie,22,verifier_only,,31.0,1.0,,,0.7946428571428571,35,0.42857142857142855,0.67,0.536976274871364,0.5714285714285714,0.25115382082222015
ie,22,cross_model_fused,32.0,31.0,0.25,0.8392857142857143,0.8348214285714286,0.7946428571428571,35,0.42857142857142855,0.7866666666666666,0.6321810915374989,0.7428571428571429,0.1910831454022364
ie,33,target_only,32.0,,0.0,,0.8705357142857143,,35,0.42857142857142855,0.8,0.68769196093192,0.7428571428571429,0.18794530207680232
ie,33,verifier_only,,27.0,1.0,,,0.8035714285714286,35,0.42857142857142855,0.7533333333333333,0.6235364823992277,0.6285714285714286,0.21636233722300838
ie,33,cross_model_fused,32.0,27.0,0.35000000000000003,0.875,0.8705357142857143,0.8035714285714286,35,0.42857142857142855,0.7866666666666666,0.6323429807740152,0.7428571428571429,0.1874155006880344
